mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
continuous_supervision,3,5000,1000,0,0.0,0.8798860757806652,0.11068257136756515,1540243.0,1000,638.02359100373,0.0002
continuous_supervision,4,5000,1000,0,0.0,0.5855772822790021,0.10884799422866867,1538669.0,1000,638.537904000259,0.0
continuous_supervision,5,5000,1000,0,0.0,0.6613911649591884,0.10821082180802402,1539102.0,1000,638.1990810041316,0.0
continuous_supervision,6,5000,1000,0,0.0,0.618362204888727,0.10936216820349803,1541269.0,1000,638.5534220025875,0.0
continuous_supervision,7,5000,1000,0,0.0,0.7881761835498541,0.10891588626123705,1539042.0,1000,638.2973540021339,0.0002
continuous_supervision,8,5000,1000,0,0.0,0.748056032455026,0.11036686176211938,1540887.0,1000,638.1552709935931,0.0
continuous_supervision,9,5000,1000,0,0.0,0.6805469904019721,0.11112242945921248,1538728.0,1000,638.421355994069,0.0
continuous_supervision,10,5000,1000,0,0.0,0.7784741373265074,0.10776759903157344,1538107.0,1000,638.2443600014085,0.0002
continuous_supervision,11,5000,1000,0,0.0,0.7021033351378562,0.10987214671580739,1539974.0,1000,637.7658870042069,0.0
continuous_supervision,12,5000,1000,0,0.0,0.766268800990177,0.11046001401704707,1536997.0,1000,637.4470339942491,0.0002
continuous_supervision,13,5000,1000,0,0.0,0.7154698102111837,0.1082178287146771,1539250.0,1000,638.0480349907884,0.0
continuous_supervision,14,5000,1000,0,0.0,0.7658886282118391,0.1102406189062659,1539286.0,1000,638.0660829890985,0.0002
continuous_supervision,15,5000,1000,0,0.0,0.6448830622624017,0.110664108443745,1540114.0,1000,637.7148450119421,0.0
continuous_supervision,16,5000,1000,0,0.0,0.6648842742789702,0.1104562918995583,1538860.0,1000,638.5502499906579,0.0
continuous_supervision,17,5000,1000,0,0.0,0.6985909341653396,0.10925114452265763,1537661.0,1000,639.2279889987549,0.0
continuous_supervision,18,5000,1000,0,0.0,0.6807936231111946,0.10796115604968372,1539018.0,1000,638.7627970107133,0.0
